feature,missing,available,missing_pct
weather_humidity_start,0,3436,0.0
weather_pressure_start,0,3436,0.0
weather_rainfall_start,0,3436,0.0
weather_windspeed_start,0,3436,0.0
weather_airtemp_start,0,3436,0.0
weather_tracktemp_start,0,3436,0.0
position_change_rate_avg_last_3,115,3321,3.346915017462165
lap_time_std_avg_last_3,115,3321,3.346915017462165
tyre_efficiency_index_avg_last_3,115,3321,3.346915017462165
sector_speed_laptime_corr_avg_last_3,115,3321,3.346915017462165
position_change_rate_avg_last_10,115,3321,3.346915017462165
position_change_rate_avg_last_5,115,3321,3.346915017462165
lap_time_std_avg_last_5,115,3321,3.346915017462165
sector_speed_laptime_corr_avg_last_5,115,3321,3.346915017462165
sector_speed_laptime_corr_avg_last_10,115,3321,3.346915017462165
lap_time_std_avg_last_10,115,3321,3.346915017462165
tyre_efficiency_index_avg_last_5,115,3321,3.346915017462165
tyre_efficiency_index_avg_last_10,115,3321,3.346915017462165
drs_activation_rate_avg_last_3,116,3320,3.3760186263096625
drs_activation_rate_avg_last_10,116,3320,3.3760186263096625
drs_activation_rate_avg_last_5,116,3320,3.3760186263096625
first_pit_lap_avg_last_5,119,3317,3.4633294528521534
first_pit_lap_avg_last_10,119,3317,3.4633294528521534
first_pit_lap_avg_last_3,120,3316,3.4924330616996504
