feature,correlation,abs_correlation,n_samples
position_change_rate_avg_last_10,-0.43002067894703916,0.43002067894703916,3321
position_change_rate_avg_last_5,-0.37894280572056604,0.37894280572056604,3321
position_change_rate_avg_last_3,-0.32596668959236663,0.32596668959236663,3321
tyre_efficiency_index_avg_last_10,-0.12501670909263513,0.12501670909263513,3321
drs_activation_rate_avg_last_10,-0.09468058605946224,0.09468058605946224,3320
tyre_efficiency_index_avg_last_5,-0.09002666203281309,0.09002666203281309,3321
drs_activation_rate_avg_last_5,-0.08145565064421677,0.08145565064421677,3320
tyre_efficiency_index_avg_last_3,-0.08020259441078981,0.08020259441078981,3321
drs_activation_rate_avg_last_3,-0.06952144137042691,0.06952144137042691,3320
first_pit_lap_avg_last_10,0.06267084289819473,0.06267084289819473,3317
first_pit_lap_avg_last_3,0.043485873746790756,0.043485873746790756,3316
first_pit_lap_avg_last_5,0.04335583908477521,0.04335583908477521,3317
sector_speed_laptime_corr_avg_last_10,-0.03042207561247115,0.03042207561247115,3321
sector_speed_laptime_corr_avg_last_5,-0.027520881176767827,0.027520881176767827,3321
sector_speed_laptime_corr_avg_last_3,-0.026845985565990677,0.026845985565990677,3321
lap_time_std_avg_last_10,0.017058232675952516,0.017058232675952516,3321
lap_time_std_avg_last_5,0.011086837273633023,0.011086837273633023,3321
lap_time_std_avg_last_3,0.00576639780443729,0.00576639780443729,3321
weather_pressure_start,0.0012195458919073406,0.0012195458919073406,3436
weather_tracktemp_start,-0.0005514950990740417,0.0005514950990740417,3436
weather_windspeed_start,-0.00014914874323324913,0.00014914874323324913,3436
weather_airtemp_start,8.615357886800163e-05,8.615357886800163e-05,3436
weather_humidity_start,-4.8637068833599535e-05,4.8637068833599535e-05,3436
